attendee_id,first_name,last_name,email,age,project_id,checked_in?,school,level_of_study,major,shirt_size
0,Fritsch,Richmond,47315@university.edu,24,,1,Case Western Reserve University,University (Undergraduate),Computer Engineering,Unisex - L
1,Hills,Luz,82699@college.edu,23,,0,Case Western Reserve University,University (Undergraduate),Biomedical Engineering,Unisex - M
2,Hegmann,Ida,66854@whatever.edu,24,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
3,Konopelski,Thomas,94127@college.edu,23,6,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
4,Olson,Brisa,34712@whatever.edu,23,28,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - L
5,Schaefer,Devin,86113@college.edu,23,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
6,Strosin,Alysha,35725@college.edu,23,,0,Case Western Reserve University,University (Master's / Doctoral),Computer Science,Women's - S
7,Green,Carlotta,83703@university.edu,29,,1,Case Western Reserve University,Not Currently a Student,Computer Science,Unisex - XL
8,Hayes,Isadore,77785@university.edu,23,,0,Case Western Reserve University,University (Undergraduate),Mechanical Engineering,Unisex - M
9,Haley,Abby,76080@whatever.edu,20,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
10,Luettgen,Eusebio,19645@college.edu,19,,0,Cornell University,High School / Secondary School,Other,Unisex - M
11,Corkery,Allen,38593@college.edu,22,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - L
12,Huel,Brice,75743@university.edu,21,12,0,Case Western Reserve University,University (Undergraduate),Undeclared (Most Likely Computer Science),Unisex - L
13,Powlowski,Zackery,75178@whatever.edu,23,,0,Michigan State University,University (Undergraduate),Computer Science,Unisex - M
14,Dibbert,Mack,60985@whatever.edu,22,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
15,O'Keefe,Soledad,80933@whatever.edu,21,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
16,Harris,Jed,54450@college.edu,20,,0,Central High School,High School / Secondary School,Electrical Engineering,Unisex - L
17,Smith,Enoch,17457@college.edu,21,,0,Case Western Reserve University,University (Undergraduate),Computer Science & Mechanical Engineering,Women's - S
18,Hayes,Cali,22595@university.edu,21,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
19,Moen,Lafayette,51971@college.edu,23,12,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - L
20,Rowe,Ellsworth,49420@whatever.edu,17,,0,Penn State University,High School / Secondary School,Musical Arts,Unisex - L
21,Cummerata,Elnora,88316@college.edu,20,,0,Highland High School,High School / Secondary School,,Unisex - M
22,Herman,Jeramie,82308@university.edu,23,5,1,The University of Cincinnati,High School / Secondary School,Computer Science,Unisex - M
23,Hessel,Arlie,55132@college.edu,20,23,1,Case Western Reserve University,University (Undergraduate),Math & Computer Science,Unisex - S
24,Langworth,Mellie,88137@whatever.edu,21,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - L
25,Beier,Lilliana,14491@university.edu,20,10,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
26,Dicki,Anahi,30845@college.edu,20,,0,Case Western Reserve University,University (Undergraduate),undecided,Unisex - M
27,Grimes,Hope,68231@college.edu,24,20,0,Case Western Reserve University,University (Master's / Doctoral),Computer Science,Women's - M
28,Hane,Berenice,53925@university.edu,20,22,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
29,Hahn,Elizabeth,90833@university.edu,20,,1,Case Western Reserve University,University (Undergraduate),Physics,Unisex - L
30,Skiles,Kacey,79846@college.edu,22,29,1,Case Western Reserve University,University (Undergraduate),Engineering Physics,Unisex - M
31,Conroy,Berneice,29157@whatever.edu,22,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - L
32,Mueller,Allie,38392@college.edu,20,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - L
33,Runte,Kurt,43291@university.edu,24,7,1,Case Western Reserve University,University (Undergraduate),Psychology,Unisex - XL
34,Block,Rudy,15054@college.edu,17,29,1,Visitation Secondary School,High School / Secondary School,,Unisex - L
35,Stroman,Citlalli,69682@whatever.edu,20,,0,Oberlin College,University ,Computer Science,Unisex - M
36,McKenzie,Stanford,96652@university.edu,16,,0,Parma High School,High School / Secondary School,,Unisex - L
37,Gerhold,Dolly,90009@university.edu,25,,0,Massachusetts Institute of Technology,University (Master's / Doctoral),Information Systems,Unisex - L
38,Zieme,Eula,33587@university.edu,21,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - L
39,Carroll,Moshe,47247@college.edu,19,,0,Case Western Reserve University,University (Undergraduate),Computer Science,Women's - S
40,Quigley,Dannie,92248@whatever.edu,19,14,1,Ohio State University,University (Undergraduate),Computer Science,Unisex - L
41,Sporer,Marjorie,38400@college.edu,21,16,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - L
42,Cummings,Buster,11749@college.edu,21,,0,Case Western Reserve University,University (Undergraduate),sociology,Women's - S
43,Metz,Georgianna,38902@university.edu,19,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
44,Mosciski,Norma,80239@university.edu,20,,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
45,Gerlach,Adolf,69982@whatever.edu,20,29,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - L
46,Davis,Phoebe,57399@whatever.edu,19,,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - L
47,Nicolas,Adriana,99693@college.edu,20,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
48,Corkery,Jacinthe,14522@university.edu,20,,0,Case Western Reserve University,University (Undergraduate),Engineering Physics,Unisex - M
49,Rath,Justus,66510@university.edu,19,7,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - S
50,Dare,Nigel,47907@university.edu,25,,0,Massachusetts Institute of Technology,University (Master's / Doctoral),Computer Science,Unisex - M
51,Schamberger,Orlando,28959@university.edu,18,28,0,The University of Michigan,University (Undergraduate),English,Women's - M
52,Senger,Nola,12072@college.edu,19,,1,The University of Indiana,University (Undergraduate),Computer Science,Unisex - XL
53,McLaughlin,Drew,75934@university.edu,26,,1,Vanderbilt University,Vocational / Code School,Computer Science,Unisex - L
54,Sawayn,Florence,36052@university.edu,22,,0,Case Western Reserve University,University (Undergraduate),Biomedical Engineering,Women's - S
55,Hettinger,Taylor,49029@college.edu,21,28,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
56,Gerlach,Adelia,26785@whatever.edu,19,25,1,Case Western Reserve University,University (Undergraduate),Mechanical Engineering,Unisex - L
57,Rice,Darren,36496@whatever.edu,20,,1,Case Western Reserve University,University (Undergraduate),Mechanical Engineering,Unisex - M
